mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_architecture,param_batch_size,param_epochs,param_lambda_value,param_learning_rate,param_momentum,param_optimizer,param_patience,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.3876286029815674,0.1438546591955815,0.35648164749145506,0.2812527553059009,relu,"(8, 8)",8,200,0.01,0.3,0.9,sgd,6,"{'activation': 'relu', 'architecture': (8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.3, 'momentum': 0.9, 'optimizer': 'sgd', 'patience': 6}",0.48,0.52,0.7916666666666666,0.9583333333333334,0.9166666666666666,0.7333333333333333,0.19865939584010506,21
1.2326272964477538,0.144664196119078,0.3456556797027588,0.2769759735421792,relu,"(8, 8)",8,200,0.01,0.5,0.6,sgd,6,"{'activation': 'relu', 'architecture': (8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.5, 'momentum': 0.6, 'optimizer': 'sgd', 'patience': 6}",0.88,1.0,0.875,0.9583333333333334,0.9166666666666666,0.9259999999999999,0.04759318345216163,4
1.4501571655273438,0.26136708223021116,0.42118220329284667,0.2277942319544266,relu,"(8, 8)",8,200,0.01,0.5,0.8,sgd,6,"{'activation': 'relu', 'architecture': (8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.5, 'momentum': 0.8, 'optimizer': 'sgd', 'patience': 6}",0.52,0.92,0.875,0.7916666666666666,0.5,0.7213333333333333,0.17751181494324383,22
1.1192988872528076,0.3684002616562993,0.27007155418395995,0.12751308469957823,relu,"(8, 8)",8,200,0.01,0.5,0.9,sgd,6,"{'activation': 'relu', 'architecture': (8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.5, 'momentum': 0.9, 'optimizer': 'sgd', 'patience': 6}",0.52,0.48,0.5,0.9583333333333334,0.5,0.5916666666666667,0.1837691788932821,31
3.600614643096924,0.714821083406078,0.5722463607788086,0.5634670591512139,relu,"(8, 8, 8)",8,200,0.01,0.1,0.6,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.1, 'momentum': 0.6, 'optimizer': 'sgd', 'patience': 6}",0.84,1.0,0.875,0.9583333333333334,0.875,0.9096666666666667,0.05964152170351719,9
2.2738718032836913,0.7498166232024885,0.5441032409667969,0.39380980490341977,relu,"(8, 8, 8)",8,200,0.01,0.1,0.8,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.1, 'momentum': 0.8, 'optimizer': 'sgd', 'patience': 6}",0.92,1.0,0.875,0.9583333333333334,0.9166666666666666,0.9339999999999999,0.042250575275504965,1
1.8066936492919923,0.6602638945206648,0.30569024085998536,0.1858671842939291,relu,"(8, 8, 8)",8,200,0.01,0.1,0.9,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.1, 'momentum': 0.9, 'optimizer': 'sgd', 'patience': 6}",0.8,1.0,0.875,0.5,0.9166666666666666,0.8183333333333334,0.17178798302300166,18
1.7544837474822998,0.12839240691168047,0.475634241104126,0.45587985750398163,relu,"(8, 8, 8)",8,200,0.01,0.3,0.6,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.3, 'momentum': 0.6, 'optimizer': 'sgd', 'patience': 6}",0.92,1.0,0.875,0.75,0.9166666666666666,0.8923333333333334,0.0818643865046198,14
1.4281943321228028,0.1475434766895685,0.19534125328063964,0.1339772660759184,relu,"(8, 8, 8)",8,200,0.01,0.3,0.8,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.3, 'momentum': 0.8, 'optimizer': 'sgd', 'patience': 6}",0.52,0.52,0.875,0.5,0.9166666666666666,0.6663333333333333,0.18799054349739094,26
1.3011722087860107,0.3000390852260666,0.20672125816345216,0.08808074664672841,relu,"(8, 8, 8)",8,200,0.01,0.3,0.9,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.3, 'momentum': 0.9, 'optimizer': 'sgd', 'patience': 6}",0.72,0.52,0.5,0.9583333333333334,0.5,0.6396666666666666,0.17963048491587144,28
