loss,binary_accuracy,val_loss,val_binary_accuracy
"[0.4516414403915405, 0.40233147144317627, 0.36969277262687683, 0.33740025758743286, 0.30007031559944153, 0.2648918628692627, 0.2269098311662674, 0.1968725174665451, 0.17849940061569214, 0.16889597475528717, 0.15355385839939117, 0.14526842534542084, 0.1392257958650589, 0.13397371768951416, 0.12814249098300934, 0.1264442503452301, 0.12054818868637085, 0.11748163402080536, 0.11301995068788528, 0.11428296566009521, 0.10764171928167343, 0.10727999359369278, 0.10608845204114914, 0.10359054058790207, 0.09955960512161255, 0.10142338275909424, 0.0990828275680542, 0.09715230762958527, 0.10504992306232452, 0.09731612354516983, 0.0975474938750267, 0.09481383860111237, 0.09137040376663208, 0.09009361267089844, 0.09162075072526932, 0.09348241239786148, 0.09089771658182144, 0.08795920759439468, 0.08917316049337387, 0.08775464445352554, 0.09003035724163055, 0.15768584609031677, 0.09354311972856522, 0.0944802314043045, 0.09457604587078094, 0.08708452433347702, 0.09230875223875046, 0.08654496818780899, 0.09122248739004135, 0.1078718826174736, 0.08763429522514343, 0.08668681979179382, 0.08433806896209717, 0.08644121885299683, 0.08680365234613419, 0.08729912340641022, 0.08451157063245773, 0.0871354267001152, 0.08089818805456161, 0.09334191679954529, 0.08675441890954971, 0.0846509113907814, 0.081588014960289, 0.16068048775196075, 0.10549470782279968]","[0.5257731676101685, 0.6082473993301392, 0.7113401889801025, 0.7525773048400879, 0.7835051417350769, 0.8865979313850403, 0.8865979313850403, 0.9278350472450256, 0.9278350472450256, 0.9278350472450256, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.8247422575950623, 0.9484536051750183, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.9278350472450256, 0.9278350472450256, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.9484536051750183, 0.9484536051750183, 0.938144326210022, 0.938144326210022, 0.938144326210022, 0.8350515365600586, 0.907216489315033]","[0.4230525493621826, 0.40164557099342346, 0.3779158890247345, 0.35444915294647217, 0.3204386532306671, 0.2823975086212158, 0.25389501452445984, 0.22621428966522217, 0.198758065700531, 0.17745862901210785, 0.16922080516815186, 0.16077212989330292, 0.15912321209907532, 0.15202555060386658, 0.15144512057304382, 0.14514689147472382, 0.1412939876317978, 0.13678672909736633, 0.1334739625453949, 0.1301007717847824, 0.1312515288591385, 0.12816071510314941, 0.12422052025794983, 0.12410198152065277, 0.13351354002952576, 0.12478635460138321, 0.11821045726537704, 0.12591606378555298, 0.12758037447929382, 0.12213321775197983, 0.11750788986682892, 0.11709867417812347, 0.12223847210407257, 0.12164606899023056, 0.11867111921310425, 0.11510391533374786, 0.11921463161706924, 0.1233159750699997, 0.1258770078420639, 0.11424695700407028, 0.2958260178565979, 0.13129515945911407, 0.12269885838031769, 0.12254513055086136, 0.11595937609672546, 0.11764010787010193, 0.11617455631494522, 0.11347904056310654, 0.14066782593727112, 0.11953030526638031, 0.11741872876882553, 0.11233709007501602, 0.12186407297849655, 0.12156330794095993, 0.11254461109638214, 0.11506917327642441, 0.11140043288469315, 0.11063957959413528, 0.10878576338291168, 0.10514111816883087, 0.1085466668009758, 0.10797912627458572, 0.2874223291873932, 0.1957186758518219, 0.10956942290067673]","[0.6000000238418579, 0.6000000238418579, 0.6399999856948853, 0.6399999856948853, 0.6399999856948853, 0.800000011920929, 0.8399999737739563, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.5600000023841858, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.9200000166893005, 0.5199999809265137, 0.800000011920929, 0.9200000166893005]"
"[0.45146411657333374, 0.407327264547348, 0.3673231303691864, 0.33188098669052124, 0.29572269320487976, 0.25908607244491577, 0.23021070659160614, 0.20114284753799438, 0.18730299174785614, 0.19312021136283875, 0.16715499758720398, 0.15526914596557617, 0.14759406447410583, 0.1473785638809204, 0.1409527212381363, 0.13679629564285278, 0.13200116157531738, 0.12720130383968353, 0.13623687624931335, 0.12454352527856827, 0.12160385400056839, 0.1198434829711914, 0.1374792605638504, 0.14056198298931122, 0.12062326073646545, 0.11574526131153107, 0.11472108215093613, 0.11266332119703293, 0.11282073706388474, 0.11157306283712387, 0.10818478465080261, 0.11259276419878006, 0.1057000681757927, 0.10384762287139893, 0.10743371397256851, 0.11626537889242172, 0.10191403329372406, 0.1032930389046669, 0.10536159574985504, 0.11050384491682053, 0.10394540429115295, 0.10803209245204926, 0.10731536895036697]","[0.47422680258750916, 0.5567010045051575, 0.6804123520851135, 0.7525773048400879, 0.8453608155250549, 0.8556700944900513, 0.8556700944900513, 0.8969072103500366, 0.9175257682800293, 0.8865979313850403, 0.9175257682800293, 0.9278350472450256, 0.9278350472450256, 0.907216489315033, 0.9175257682800293, 0.9278350472450256, 0.9278350472450256, 0.9278350472450256, 0.907216489315033, 0.9175257682800293, 0.9278350472450256, 0.9175257682800293, 0.8969072103500366, 0.8659793734550476, 0.9278350472450256, 0.9278350472450256, 0.9278350472450256, 0.9278350472450256, 0.9278350472450256, 0.9175257682800293, 0.9278350472450256, 0.9175257682800293, 0.9175257682800293, 0.9587628841400146, 0.907216489315033, 0.9175257682800293, 0.9175257682800293, 0.9484536051750183, 0.9175257682800293, 0.8969072103500366, 0.907216489315033, 0.9175257682800293, 0.907216489315033]","[0.4277278780937195, 0.39944201707839966, 0.37467971444129944, 0.36272796988487244, 0.3356521725654602, 0.28930333256721497, 0.253363698720932, 0.21918994188308716, 0.2315666824579239, 0.14778824150562286, 0.1446170061826706, 0.1455915868282318, 0.1581520438194275, 0.14105385541915894, 0.14317983388900757, 0.1375560313463211, 0.13405783474445343, 0.14004991948604584, 0.11372940987348557, 0.12001228332519531, 0.11657131463289261, 0.20001956820487976, 0.1598539799451828, 0.1350492686033249, 0.1325410008430481, 0.12861764430999756, 0.12221803516149521, 0.12415534257888794, 0.11562998592853546, 0.11199843138456345, 0.10003495961427689, 0.09287643432617188, 0.12085914611816406, 0.08968197554349899, 0.11390366405248642, 0.08690038323402405, 0.11160649359226227, 0.09568296372890472, 0.0915236696600914, 0.0888114869594574, 0.08696522563695908, 0.09064027667045593, 0.09686176478862762]","[0.5199999809265137, 0.6000000238418579, 0.6399999856948853, 0.6000000238418579, 0.6800000071525574, 0.8399999737739563, 0.9200000166893005, 0.8799999952316284, 0.7200000286102295, 1.0, 1.0, 1.0, 0.9599999785423279, 1.0, 1.0, 0.9599999785423279, 1.0, 0.8399999737739563, 1.0, 1.0, 1.0, 0.800000011920929, 0.8399999737739563, 0.9200000166893005, 0.9599999785423279, 0.8799999952316284, 0.9200000166893005, 0.9599999785423279, 1.0, 0.9599999785423279, 1.0, 1.0, 0.9200000166893005, 1.0, 0.8799999952316284, 1.0, 0.9599999785423279, 1.0, 1.0, 1.0, 1.0, 0.9599999785423279, 0.9200000166893005]"
"[0.42791467905044556, 0.38534125685691833, 0.3469926118850708, 0.29535114765167236, 0.25124165415763855, 0.21636119484901428, 0.19405555725097656, 0.18198645114898682, 0.16508223116397858, 0.15536221861839294, 0.14742940664291382, 0.14158949255943298, 0.13656163215637207, 0.13105548918247223, 0.12626780569553375, 0.12171584367752075, 0.11814950406551361, 0.11411049216985703, 0.11173029989004135, 0.1123962476849556, 0.11974332481622696, 0.10692360252141953, 0.10362829267978668, 0.10492172092199326, 0.1006617471575737, 0.09941405057907104, 0.09637410193681717, 0.1017267256975174, 0.10354920476675034, 0.0989757552742958, 0.09294360131025314, 0.10095945000648499, 0.09293882548809052, 0.09057716280221939, 0.08997586369514465, 0.10350161045789719, 0.09816417098045349, 0.09079790860414505, 0.08767465502023697, 0.08734826743602753, 0.08613663911819458, 0.08784929662942886, 0.08760404586791992, 0.08678840100765228, 0.08814843744039536, 0.09103651344776154, 0.084053635597229, 0.08504454791545868, 0.08530255407094955, 0.08679819107055664, 0.08374661207199097, 0.08845828473567963, 0.08587884157896042, 0.08046689629554749, 0.0808100476861, 0.08259490877389908, 0.08124735206365585, 0.08633269369602203, 0.08043553680181503, 0.08645620197057724, 0.08141525089740753, 0.0804731473326683, 0.08367766439914703, 0.08379955589771271, 0.08122096210718155]","[0.5408163070678711, 0.6938775777816772, 0.8061224222183228, 0.8469387888908386, 0.8469387888908386, 0.9081632494926453, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9285714030265808, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9489796161651611, 0.9387755393981934, 0.9489796161651611, 0.9387755393981934, 0.918367326259613, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9489796161651611, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9489796161651611, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9591836929321289, 0.9489796161651611, 0.9387755393981934, 0.9387755393981934, 0.9591836929321289, 0.9387755393981934, 0.9387755393981934, 0.9387755393981934, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9693877696990967, 0.9489796161651611, 0.9387755393981934, 0.9591836929321289, 0.9387755393981934, 0.9489796161651611, 0.9387755393981934, 0.9591836929321289, 0.9591836929321289]","[0.40239763259887695, 0.3720569610595703, 0.33361783623695374, 0.2936466634273529, 0.24324345588684082, 0.21419043838977814, 0.20072168111801147, 0.18299345672130585, 0.17474134266376495, 0.1647631973028183, 0.15727591514587402, 0.15765054523944855, 0.15568476915359497, 0.15312863886356354, 0.14640438556671143, 0.139707550406456, 0.13540340960025787, 0.1419132798910141, 0.13004516065120697, 0.1288699507713318, 0.12359479069709778, 0.12245109677314758, 0.13914765417575836, 0.12143371254205704, 0.1253608912229538, 0.12874870002269745, 0.1184261217713356, 0.11906083673238754, 0.12426013499498367, 0.11539962887763977, 0.11062153428792953, 0.10895612835884094, 0.11208143830299377, 0.12105187773704529, 0.14431855082511902, 0.11171779781579971, 0.10704398900270462, 0.10455197095870972, 0.10404261201620102, 0.1059751808643341, 0.10465224832296371, 0.10961058735847473, 0.11073590070009232, 0.11027458310127258, 0.13756656646728516, 0.11168728023767471, 0.10374724864959717, 0.10159546881914139, 0.11534994840621948, 0.103980652987957, 0.11140536516904831, 0.10583408921957016, 0.10962343215942383, 0.11074206978082657, 0.10306573659181595, 0.10388315469026566, 0.11852312833070755, 0.10686969012022018, 0.1021009087562561, 0.10212922841310501, 0.10524339228868484, 0.10316973179578781, 0.10806218534708023, 0.1046055257320404, 0.10278896242380142]","[0.6666666865348816, 0.6666666865348816, 0.7916666865348816, 0.7916666865348816, 0.9583333134651184, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816]"
"[0.44336622953414917, 0.40895310044288635, 0.3800738453865051, 0.3537985682487488, 0.31572383642196655, 0.2784252464771271, 0.24162331223487854, 0.2130134403705597, 0.18500885367393494, 0.17278443276882172, 0.16035692393779755, 0.15142689645290375, 0.1439661830663681, 0.14738404750823975, 0.1362624317407608, 0.14395588636398315, 0.12890097498893738, 0.12295235693454742, 0.12647458910942078, 0.12126746773719788, 0.11958762258291245, 0.11415322124958038, 0.11154831945896149, 0.11395655572414398, 0.10969101637601852, 0.10663804411888123, 0.10875643789768219, 0.10556354373693466, 0.10327055305242538, 0.10853137820959091, 0.10189571976661682, 0.10164064913988113, 0.10174237191677094, 0.10079164057970047, 0.09711666405200958, 0.10906582325696945, 0.09910321980714798, 0.09736955165863037, 0.1164793074131012, 0.09876104444265366, 0.10208742320537567]","[0.5408163070678711, 0.5, 0.6224489808082581, 0.6734693646430969, 0.7551020383834839, 0.8265306353569031, 0.8571428656578064, 0.8979591727256775, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9387755393981934, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.918367326259613, 0.9285714030265808, 0.9285714030265808, 0.8979591727256775, 0.9285714030265808, 0.9285714030265808]","[0.3971162736415863, 0.368279367685318, 0.3440408706665039, 0.30435171723365784, 0.265141099691391, 0.23376040160655975, 0.19455339014530182, 0.16947431862354279, 0.16673433780670166, 0.14842869341373444, 0.1457979679107666, 0.1307431310415268, 0.12369229644536972, 0.12242802232503891, 0.11674752831459045, 0.11758480221033096, 0.11025229096412659, 0.12306112796068192, 0.10444343090057373, 0.10125407576560974, 0.1059977114200592, 0.11004430800676346, 0.10339965671300888, 0.09921588748693466, 0.09833666682243347, 0.09081447124481201, 0.09588437527418137, 0.09045616537332535, 0.09213749319314957, 0.09765707701444626, 0.08818858116865158, 0.09661094099283218, 0.08671853691339493, 0.0946969985961914, 0.08720996975898743, 0.08967709541320801, 0.08905598521232605, 0.08722851425409317, 0.09065523743629456, 0.08548485487699509, 0.08423849195241928]","[0.7916666865348816, 0.8333333134651184, 0.75, 0.875, 0.875, 0.875, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184, 0.9583333134651184]"
"[0.45490503311157227, 0.40144628286361694, 0.3732835352420807, 0.3483130931854248, 0.3184998631477356, 0.28539690375328064, 0.25065144896507263, 0.21008892357349396, 0.1820497363805771, 0.16183507442474365, 0.15029799938201904, 0.13923881947994232, 0.13151443004608154, 0.1323225200176239, 0.11958270519971848, 0.1205313578248024, 0.11649248749017715, 0.10937169939279556, 0.10717207938432693, 0.10070014744997025, 0.1001395657658577, 0.09792444854974747, 0.09463943541049957, 0.09617515653371811, 0.09192585200071335, 0.09129168838262558, 0.08763961493968964, 0.08729352802038193, 0.08581367880105972, 0.12353318184614182, 0.08849496394395828, 0.0882546678185463, 0.08887685835361481, 0.08409268409013748, 0.08115467429161072, 0.11689729243516922, 0.08168261498212814, 0.08484125882387161, 0.08520951867103577, 0.0807502493262291, 0.07842548191547394, 0.0832846537232399, 0.08024213463068008, 0.08125363290309906, 0.07812687009572983, 0.0925942212343216, 0.08095996826887131, 0.08403538912534714, 0.07905536890029907, 0.0840616449713707, 0.07746049016714096, 0.08807551115751266, 0.08078671246767044, 0.0760645940899849, 0.07875903695821762, 0.08119522035121918, 0.07725688070058823, 0.07876269519329071, 0.0771123394370079, 0.08058811724185944]","[0.5714285969734192, 0.6122449040412903, 0.6836734414100647, 0.704081654548645, 0.7653061151504517, 0.8163265585899353, 0.8775510191917419, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9387755393981934, 0.9489796161651611, 0.9591836929321289, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9591836929321289, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9591836929321289, 0.9489796161651611, 0.9489796161651611, 0.8877550959587097, 0.9591836929321289, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.8877550959587097, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9591836929321289, 0.9591836929321289, 0.9387755393981934, 0.9489796161651611, 0.9387755393981934, 0.9489796161651611, 0.9489796161651611, 0.9387755393981934, 0.9489796161651611, 0.9489796161651611, 0.9591836929321289, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9489796161651611, 0.9591836929321289, 0.9489796161651611, 0.9591836929321289, 0.9489796161651611, 0.9591836929321289, 0.9591836929321289]","[0.407259076833725, 0.38010773062705994, 0.35345765948295593, 0.33022230863571167, 0.28755292296409607, 0.27372145652770996, 0.24512942135334015, 0.2148868590593338, 0.20273061096668243, 0.19327349960803986, 0.18679015338420868, 0.1841437816619873, 0.19698584079742432, 0.1806327849626541, 0.1901889592409134, 0.17103661596775055, 0.16762985289096832, 0.1632242053747177, 0.16193659603595734, 0.16517601907253265, 0.1597168743610382, 0.1574360877275467, 0.15519027411937714, 0.15553806722164154, 0.1578756421804428, 0.16097933053970337, 0.15314288437366486, 0.15566705167293549, 0.28749319911003113, 0.1547747403383255, 0.15026040375232697, 0.16037552058696747, 0.15033340454101562, 0.1555839627981186, 0.24506878852844238, 0.15411703288555145, 0.180494487285614, 0.1603272408246994, 0.15855444967746735, 0.15066751837730408, 0.14954285323619843, 0.1483875960111618, 0.14776186645030975, 0.1522551029920578, 0.20194947719573975, 0.14901678264141083, 0.14643864333629608, 0.14362870156764984, 0.16138942539691925, 0.15435968339443207, 0.14578813314437866, 0.1581176519393921, 0.15025462210178375, 0.14604978263378143, 0.15170569717884064, 0.16406512260437012, 0.17158953845500946, 0.15892630815505981, 0.14934726059436798, 0.1418236941099167]","[0.7083333134651184, 0.7083333134651184, 0.75, 0.7083333134651184, 0.875, 0.8333333134651184, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8333333134651184, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.5833333134651184, 0.875, 0.875, 0.875, 0.875, 0.875, 0.7083333134651184, 0.875, 0.7916666865348816, 0.875, 0.8333333134651184, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8333333134651184, 0.875, 0.875, 0.875, 0.8333333134651184, 0.8333333134651184, 0.875, 0.875, 0.875, 0.875, 0.875, 0.7916666865348816, 0.7916666865348816, 0.8333333134651184, 0.875, 0.875]"
