loss,mean_euclidean_error,mean_squared_error,val_loss,val_mean_euclidean_error,val_mean_squared_error
"[399.0251770019531, 52.475990295410156, 21.278806686401367, 12.303711891174316, 9.074301719665527, 6.7417120933532715, 5.752394676208496, 4.833807945251465, 4.368851661682129]","[30.817996978759766, 11.020486831665039, 7.073694229125977, 5.364346504211426, 4.473655700683594, 3.808850049972534, 3.491751194000244, 3.229780435562134, 3.0366718769073486]","[399.0251770019531, 52.475990295410156, 21.278806686401367, 12.303711891174316, 9.074301719665527, 6.7417120933532715, 5.752394676208496, 4.833807945251465, 4.368851661682129]","[175.50717163085938, 306.10821533203125, 142.13327026367188, 131.4237823486328, 160.2776641845703, 151.2902069091797, 174.16928100585938, 167.83853149414062, 185.20535278320312]","[20.499711990356445, 27.25912857055664, 19.518016815185547, 18.67613983154297, 20.987789154052734, 20.702030181884766, 22.03301429748535, 21.84276580810547, 22.872968673706055]","[175.50717163085938, 306.10821533203125, 142.13327026367188, 131.4237823486328, 160.2776641845703, 151.2902069091797, 174.16928100585938, 167.83853149414062, 185.20535278320312]"
"[457.826171875, 61.36268997192383, 24.15810203552246, 14.685336112976074, 8.76188850402832, 6.789626121520996]","[32.150550842285156, 12.004164695739746, 7.380338668823242, 5.733400344848633, 4.413145542144775, 3.817389726638794]","[457.826171875, 61.36268997192383, 24.15810203552246, 14.685336112976074, 8.76188850402832, 6.789626121520996]","[136.884765625, 221.7540740966797, 226.2453155517578, 214.8502197265625, 199.0990447998047, 206.2824249267578]","[18.400142669677734, 24.224096298217773, 25.376012802124023, 24.800762176513672, 24.030487060546875, 24.444782257080078]","[136.88475036621094, 221.7540740966797, 226.2453155517578, 214.8502197265625, 199.09906005859375, 206.2824249267578]"
"[390.9786071777344, 47.048133850097656, 22.72597312927246, 13.365285873413086, 8.867419242858887, 6.7504377365112305]","[29.941377639770508, 10.616101264953613, 7.224215984344482, 5.460072040557861, 4.37405252456665, 3.778700828552246]","[390.9786071777344, 47.048133850097656, 22.72597312927246, 13.365285873413086, 8.867419242858887, 6.7504377365112305]","[166.55300903320312, 267.2851867675781, 281.68463134765625, 253.2042236328125, 257.56085205078125, 242.191162109375]","[20.635807037353516, 26.946468353271484, 28.396690368652344, 26.958717346191406, 27.14690589904785, 26.314815521240234]","[166.55300903320312, 267.2851867675781, 281.68463134765625, 253.2042236328125, 257.56085205078125, 242.191162109375]"
"[377.07818603515625, 50.93529510498047, 19.92910385131836, 11.659757614135742, 7.4505109786987305, 5.852560520172119]","[29.03099822998047, 10.57844352722168, 6.883240699768066, 5.129497051239014, 4.014620304107666, 3.516479969024658]","[377.07818603515625, 50.935298919677734, 19.92910385131836, 11.659757614135742, 7.4505109786987305, 5.852560520172119]","[125.18449401855469, 305.91400146484375, 236.07455444335938, 175.256103515625, 181.06874084472656, 185.86495971679688]","[17.40445327758789, 28.713504791259766, 26.024662017822266, 22.3419246673584, 22.57814598083496, 23.28041648864746]","[125.18449401855469, 305.91400146484375, 236.07455444335938, 175.256103515625, 181.06874084472656, 185.86495971679688]"
"[356.3184509277344, 60.848167419433594, 20.01544761657715, 11.94434642791748, 9.264257431030273, 7.786190986633301]","[28.27816390991211, 11.523541450500488, 6.763795852661133, 5.137719631195068, 4.443473815917969, 4.06997013092041]","[356.3184509277344, 60.848167419433594, 20.01544761657715, 11.94434642791748, 9.264257431030273, 7.786190986633301]","[166.49884033203125, 294.9769287109375, 277.78485107421875, 213.52395629882812, 193.5128631591797, 199.72457885742188]","[20.353801727294922, 27.548580169677734, 28.065166473388672, 24.743785858154297, 23.264156341552734, 23.74676513671875]","[166.49884033203125, 294.9769287109375, 277.78485107421875, 213.52395629882812, 193.5128631591797, 199.72457885742188]"
