loss,mean_euclidean_error,mean_squared_error,val_loss,val_mean_euclidean_error,val_mean_squared_error
"[465.04736328125, 171.80502319335938, 45.615272521972656, 30.63869285583496, 21.27666664123535, 17.119176864624023, 14.616795539855957, 13.301992416381836, 12.90613842010498, 12.185647010803223, 9.742060661315918, 10.67010498046875, 10.249994277954102, 10.10879898071289, 10.005997657775879, 10.798299789428711, 8.92131519317627, 9.29421615600586, 9.91678237915039, 8.141812324523926, 7.984633445739746, 8.10875129699707, 8.354207992553711, 9.130335807800293]","[31.873544692993164, 17.310617446899414, 9.37429428100586, 7.59429407119751, 6.4764227867126465, 5.931890964508057, 5.578532695770264, 5.230317115783691, 5.125452041625977, 5.086633205413818, 4.6186137199401855, 4.673084735870361, 4.585685729980469, 4.612846374511719, 4.574341773986816, 4.708095550537109, 4.4078569412231445, 4.3918070793151855, 4.488457202911377, 4.244940757751465, 4.138106822967529, 4.163985729217529, 4.156681537628174, 4.326448440551758]","[465.04736328125, 171.80502319335938, 45.615272521972656, 30.63869285583496, 21.27666664123535, 17.119176864624023, 14.616795539855957, 13.301992416381836, 12.90613842010498, 12.185647010803223, 9.742060661315918, 10.67010498046875, 10.249994277954102, 10.10879898071289, 10.005997657775879, 10.798299789428711, 8.92131519317627, 9.29421615600586, 9.91678237915039, 8.141812324523926, 7.984633445739746, 8.10875129699707, 8.354207992553711, 9.130335807800293]","[453.1197814941406, 339.28497314453125, 341.9888916015625, 328.1542053222656, 331.1248474121094, 330.3055114746094, 332.4261474609375, 326.2953186035156, 325.35260009765625, 325.7062683105469, 325.4507751464844, 329.00189208984375, 315.27838134765625, 321.0179443359375, 314.3076477050781, 316.25640869140625, 313.510986328125, 311.2032165527344, 307.489990234375, 312.0713195800781, 315.9603271484375, 311.0382995605469, 316.86505126953125, 311.36163330078125]","[32.543785095214844, 28.093088150024414, 28.4284610748291, 28.167444229125977, 28.196147918701172, 28.203449249267578, 28.182605743408203, 28.055538177490234, 28.099498748779297, 28.034652709960938, 28.13529396057129, 28.313894271850586, 28.0175724029541, 28.173147201538086, 28.05670166015625, 28.048931121826172, 27.89044189453125, 27.991403579711914, 27.844778060913086, 27.98946762084961, 28.084667205810547, 27.855670928955078, 28.16866683959961, 27.974966049194336]","[453.1197814941406, 339.28497314453125, 341.9888916015625, 328.1542053222656, 331.1248474121094, 330.3055114746094, 332.4261474609375, 326.2953186035156, 325.35260009765625, 325.7062683105469, 325.4507751464844, 329.00189208984375, 315.27838134765625, 321.0179443359375, 314.3076477050781, 316.25640869140625, 313.510986328125, 311.2032165527344, 307.489990234375, 312.0713195800781, 315.9603271484375, 311.0382995605469, 316.86505126953125, 311.36163330078125]"
"[503.90386962890625, 667.5169677734375, 127.00605773925781, 64.51846313476562, 43.28947067260742, 39.06869888305664]","[31.87886619567871, 32.60053253173828, 15.277552604675293, 11.089532852172852, 9.164243698120117, 8.77977466583252]","[503.90386962890625, 667.5169677734375, 127.00605773925781, 64.51846313476562, 43.28947067260742, 39.06869888305664]","[608.2669677734375, 203225.65625, 235006.296875, 252065.375, 271378.90625, 272129.5]","[38.093936920166016, 670.17138671875, 719.3126831054688, 743.6990356445312, 772.4736328125, 774.547607421875]","[608.2669677734375, 203225.65625, 235006.296875, 252065.375, 271378.90625, 272129.5]"
"[467.2262268066406, 197.9848175048828, 87.94915008544922, 40.28528594970703, 43.627296447753906, 19.385608673095703, 16.40121841430664, 14.789741516113281]","[31.3209171295166, 18.729137420654297, 12.344949722290039, 8.709528923034668, 8.721282005310059, 6.286084175109863, 5.817544460296631, 5.583927154541016]","[467.2262268066406, 197.9848175048828, 87.94915008544922, 40.28528594970703, 43.627296447753906, 19.385608673095703, 16.40121841430664, 14.789741516113281]","[287.5940856933594, 203.35531616210938, 188.13241577148438, 211.2906951904297, 207.93362426757812, 218.25119018554688, 216.56503295898438, 223.0729522705078]","[25.170795440673828, 22.03125, 20.631444931030273, 21.335609436035156, 21.10373306274414, 21.6230525970459, 21.429521560668945, 21.9386043548584]","[287.5940856933594, 203.35531616210938, 188.13241577148438, 211.2906951904297, 207.93362426757812, 218.25119018554688, 216.56503295898438, 223.0729522705078]"
"[318.6712951660156, 154.2987823486328, 53.9530143737793, 34.802303314208984, 16.510351181030273, 12.452386856079102, 11.467781066894531, 11.546392440795898]","[24.72364044189453, 16.204864501953125, 9.477567672729492, 7.64597225189209, 5.8008599281311035, 5.124421119689941, 4.901329040527344, 4.920355796813965]","[318.6712951660156, 154.2987823486328, 53.9530143737793, 34.802303314208984, 16.510351181030273, 12.452386856079102, 11.467781066894531, 11.546392440795898]","[509.8074645996094, 183.96035766601562, 175.56283569335938, 187.48831176757812, 190.08596801757812, 186.13836669921875, 186.1151885986328, 189.48867797851562]","[32.32303237915039, 20.319950103759766, 19.819360733032227, 20.633914947509766, 20.543598175048828, 20.37847328186035, 20.424692153930664, 20.62786865234375]","[509.8074645996094, 183.96035766601562, 175.56283569335938, 187.48831176757812, 190.08596801757812, 186.13836669921875, 186.1151885986328, 189.48867797851562]"
"[713.5675048828125, 380.4047546386719, 207.05386352539062, 53.11628341674805, 34.57407760620117, 32.34501266479492, 27.4628849029541, 24.97007179260254, 20.056169509887695]","[39.6487922668457, 26.985309600830078, 18.47658348083496, 9.860433578491211, 8.143254280090332, 8.005105972290039, 7.287703037261963, 6.905858516693115, 6.426333427429199]","[713.5675048828125, 380.4047546386719, 207.05386352539062, 53.11628341674805, 34.57407760620117, 32.34501266479492, 27.4628849029541, 24.97007179260254, 20.056169509887695]","[1594327.25, 1357609.0, 1301767.25, 1300224.125, 1306275.375, 1312307.0, 1312266.875, 1310456.375, 1311517.625]","[1840.158203125, 1692.734375, 1659.711669921875, 1658.3948974609375, 1662.554931640625, 1666.673583984375, 1666.4849853515625, 1665.422607421875, 1666.275390625]","[1594327.25, 1357609.0, 1301767.25, 1300224.125, 1306275.375, 1312307.0, 1312266.875, 1310456.375, 1311517.625]"
