loss,mean_euclidean_error,mean_squared_error,val_loss,val_mean_euclidean_error,val_mean_squared_error
"[40.73590087890625, 30.536584854125977, 21.048179626464844, 12.772275924682617, 7.216094970703125, 6.158855438232422, 5.732264041900635, 5.159274101257324, 5.085116863250732, 5.014819622039795, 4.718174934387207, 4.562530040740967, 4.706905841827393]","[40.73590087890625, 30.536584854125977, 21.048179626464844, 12.772275924682617, 7.216094970703125, 6.158855438232422, 5.732264041900635, 5.159274101257324, 5.085116863250732, 5.014819622039795, 4.718174934387207, 4.562530040740967, 4.706905841827393]","[683.4762573242188, 385.33984375, 181.4869842529297, 68.600830078125, 23.13375473022461, 17.977628707885742, 15.93412971496582, 13.181933403015137, 12.454568862915039, 12.94916820526123, 10.930264472961426, 10.353469848632812, 11.401449203491211]","[39.540077209472656, 32.590614318847656, 20.4462833404541, 13.436365127563477, 14.515317916870117, 17.16152572631836, 16.245067596435547, 16.557777404785156, 17.47257423400879, 17.78127098083496, 17.974384307861328, 18.5173282623291, 18.91379737854004]","[39.540077209472656, 32.590614318847656, 20.4462833404541, 13.436365127563477, 14.515317916870117, 17.16152572631836, 16.245067596435547, 16.557777404785156, 17.47257423400879, 17.78127098083496, 17.974384307861328, 18.5173282623291, 18.91379737854004]","[658.7523193359375, 429.24639892578125, 166.55099487304688, 69.7544937133789, 77.66935729980469, 102.91334533691406, 92.33721160888672, 98.9966812133789, 107.6302719116211, 110.67913818359375, 111.32362365722656, 118.83448791503906, 123.93524169921875]"
"[39.45950698852539, 31.26688575744629, 20.93865966796875, 12.726459503173828, 7.476988315582275, 6.564549446105957, 5.8715128898620605, 5.407071590423584, 5.178545951843262, 5.083619117736816, 4.999680519104004, 4.676514625549316, 4.477114677429199, 4.421304225921631]","[39.45950698852539, 31.26688575744629, 20.93865966796875, 12.726459503173828, 7.476988315582275, 6.564549446105957, 5.8715128898620605, 5.407071590423584, 5.178545951843262, 5.083619117736816, 4.999680519104004, 4.676514625549316, 4.477114677429199, 4.421304225921631]","[645.378662109375, 404.2405700683594, 181.36209106445312, 69.13331604003906, 25.11006736755371, 20.714214324951172, 16.567119598388672, 14.464985847473145, 13.409660339355469, 13.851313591003418, 13.12382984161377, 11.334077835083008, 10.175253868103027, 10.110776901245117]","[39.718666076660156, 33.585792541503906, 20.45224380493164, 13.866246223449707, 13.740095138549805, 14.941362380981445, 15.859044075012207, 15.415369987487793, 16.049957275390625, 15.15971851348877, 15.304880142211914, 15.302996635437012, 15.156267166137695, 16.384258270263672]","[39.718666076660156, 33.585792541503906, 20.45224380493164, 13.866246223449707, 13.740095138549805, 14.941362380981445, 15.859044075012207, 15.415369987487793, 16.049957275390625, 15.15971851348877, 15.304880142211914, 15.302996635437012, 15.156267166137695, 16.384258270263672]","[644.0908203125, 445.73046875, 164.51419067382812, 71.92574310302734, 73.6786117553711, 82.3524169921875, 90.71244812011719, 85.01922607421875, 92.6876449584961, 84.38490295410156, 83.73078918457031, 84.78572082519531, 83.13758850097656, 96.94156646728516]"
"[39.49803924560547, 28.706897735595703, 19.865558624267578, 12.22514533996582, 8.330317497253418, 6.634919166564941, 5.878308296203613, 5.493030548095703, 5.397787094116211, 5.101539611816406, 4.773240089416504, 4.854113578796387, 4.530334949493408, 4.661889553070068]","[39.49803924560547, 28.706897735595703, 19.865558624267578, 12.22514533996582, 8.330317497253418, 6.634919166564941, 5.878308296203613, 5.493030548095703, 5.397787094116211, 5.101539611816406, 4.773240089416504, 4.854113578796387, 4.530334949493408, 4.661889553070068]","[645.0169677734375, 346.2947692871094, 160.54562377929688, 62.35410690307617, 29.029552459716797, 21.056705474853516, 16.077491760253906, 14.836344718933105, 14.818338394165039, 13.16051197052002, 11.091849327087402, 11.995694160461426, 10.186498641967773, 11.072872161865234]","[37.24409103393555, 30.52752113342285, 18.96109390258789, 14.63592529296875, 14.464426040649414, 14.904322624206543, 16.659969329833984, 17.614147186279297, 17.48859977722168, 17.128244400024414, 17.241243362426758, 17.842403411865234, 18.44552230834961, 18.31966781616211]","[37.24409103393555, 30.52752113342285, 18.96109390258789, 14.63592529296875, 14.464426040649414, 14.904322624206543, 16.659969329833984, 17.614147186279297, 17.48859977722168, 17.128244400024414, 17.241243362426758, 17.842403411865234, 18.44552230834961, 18.31966781616211]","[576.6529541015625, 371.7109069824219, 138.7525634765625, 84.86834716796875, 84.45747375488281, 84.0435562133789, 99.6877670288086, 115.56475830078125, 108.05267333984375, 104.7894287109375, 104.67301940917969, 113.85163879394531, 120.1229019165039, 117.54560852050781]"
"[38.04187774658203, 28.66695213317871, 19.371213912963867, 11.716729164123535, 7.132370948791504, 5.790517807006836, 5.691556930541992, 5.170088291168213, 5.086026191711426, 5.089598178863525, 4.652029514312744, 4.544253826141357, 4.450397491455078, 4.286874294281006]","[38.04187774658203, 28.66695213317871, 19.371213912963867, 11.716729164123535, 7.132370948791504, 5.790517807006836, 5.691556930541992, 5.170088291168213, 5.086026191711426, 5.089598178863525, 4.652029514312744, 4.544253826141357, 4.450397491455078, 4.286874294281006]","[603.7659301757812, 341.95654296875, 153.85511779785156, 57.57598876953125, 22.40916633605957, 15.212808609008789, 15.483312606811523, 12.892529487609863, 12.804102897644043, 13.086181640625, 10.784187316894531, 10.105871200561523, 9.959202766418457, 9.251886367797852]","[41.95964431762695, 34.754615783691406, 21.85211753845215, 15.170026779174805, 14.924215316772461, 16.185684204101562, 16.221778869628906, 16.133941650390625, 16.063411712646484, 15.789030075073242, 16.52780532836914, 16.46915054321289, 16.753082275390625, 17.00784683227539]","[41.95964431762695, 34.754615783691406, 21.85211753845215, 15.170026779174805, 14.924215316772461, 16.185684204101562, 16.221778869628906, 16.133941650390625, 16.063411712646484, 15.789030075073242, 16.52780532836914, 16.46915054321289, 16.753082275390625, 17.00784683227539]","[708.4456176757812, 469.47528076171875, 184.49819946289062, 89.7837905883789, 82.35098266601562, 94.46089935302734, 94.44904327392578, 91.90129089355469, 92.6100082397461, 89.52204895019531, 96.10906982421875, 95.3838119506836, 98.55033874511719, 102.00018310546875]"
"[38.527198791503906, 29.98368263244629, 20.541831970214844, 11.84167194366455, 7.390627384185791, 6.166504859924316, 5.7818284034729, 5.600361347198486, 5.2098612785339355, 4.8228254318237305, 4.944843292236328, 4.558785438537598, 4.4996137619018555]","[38.527198791503906, 29.98368263244629, 20.541831970214844, 11.84167194366455, 7.390627384185791, 6.166504859924316, 5.7818284034729, 5.600361347198486, 5.2098612785339355, 4.8228254318237305, 4.944843292236328, 4.558785438537598, 4.4996137619018555]","[618.6868896484375, 375.0647277832031, 173.22645568847656, 59.058807373046875, 23.743701934814453, 18.2902774810791, 16.810794830322266, 16.18876075744629, 13.433842658996582, 11.487483978271484, 12.288534164428711, 10.448423385620117, 10.140125274658203]","[40.20601272583008, 32.68306350708008, 19.16588020324707, 13.475820541381836, 14.834630966186523, 16.201129913330078, 16.06187629699707, 16.609066009521484, 16.743003845214844, 17.01437759399414, 17.669300079345703, 16.770015716552734, 17.578115463256836]","[40.20601272583008, 32.68306350708008, 19.16588020324707, 13.475820541381836, 14.834630966186523, 16.201129913330078, 16.06187629699707, 16.609066009521484, 16.743003845214844, 17.01437759399414, 17.669300079345703, 16.770015716552734, 17.578115463256836]","[653.354248046875, 415.93316650390625, 148.04745483398438, 71.6562271118164, 82.73663330078125, 95.86178588867188, 92.49015045166016, 98.79777526855469, 101.32551574707031, 104.44889068603516, 111.94773864746094, 103.4458236694336, 111.14921569824219]"
