number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_input_rate,params_dropout_rate_l0,params_dropout_rate_l1,params_dropout_rate_l2,params_dropout_rate_l3,params_dropout_rate_l4,params_epochs,params_learning_rate,params_momentum,params_num_layers,params_num_units_l0,params_num_units_l1,params_num_units_l2,params_num_units_l3,params_num_units_l4,params_patience,params_use_nesterov,params_weight_decay,state
38,1.8791616109525044,2024-01-25 22:12:49.572027,2024-01-25 22:19:32.099039,0 days 00:06:42.527012,97,0.06967761786204191,0.0806417034569582,0.2572083505613708,0.2890446359403121,,,335,0.006985780725580756,0.42066588139669286,3,448,352.0,352.0,,,5,False,0.00016599280668570324,COMPLETE
117,1.8801140500696358,2024-01-25 23:14:01.143830,2024-01-25 23:18:22.348494,0 days 00:04:21.204664,118,0.02457961492649527,0.2071242693905419,0.05653477420715696,0.002622917106041567,,,375,0.0012994145605709966,0.9229380759325065,3,224,128.0,64.0,,,6,False,0.0013426925583623571,COMPLETE
46,1.8870686599667947,2024-01-25 22:19:29.359474,2024-01-25 22:28:42.249490,0 days 00:09:12.890016,102,0.06485083193341099,0.0734415601807731,0.16827201681787957,0.11207265225089535,0.4890520319253442,,344,0.003376997069710386,0.6966191823693799,4,480,480.0,480.0,480.0,,5,False,2.8009058478080108e-05,COMPLETE
196,1.8911803643538387,2024-01-26 00:25:44.995983,2024-01-26 00:33:35.631019,0 days 00:07:50.635036,21,0.38002583637441817,0.058803361716829775,0.0001319029500624302,0.3739897449094948,,,193,0.005517981889824151,0.5659403695147618,3,384,352.0,320.0,,,7,False,0.0011388384363466865,COMPLETE
70,1.9000944520663399,2024-01-25 22:41:39.338536,2024-01-25 22:47:43.742774,0 days 00:06:04.404238,121,0.21019534417196278,0.14762477000601165,0.04825951394275385,0.18862089087194772,,,398,0.005845827189201364,0.8819451554382952,3,352,192.0,96.0,,,7,False,0.0002409521991656893,COMPLETE
114,1.9012035587472027,2024-01-25 23:11:47.163331,2024-01-25 23:20:28.305934,0 days 00:08:41.142603,37,0.2523921168889605,0.20752659714557684,0.059096941508550216,,,,364,0.002075699069731696,0.8779565791496159,2,224,192.0,,,,7,False,0.0007107865893559969,COMPLETE
121,1.9100266962977503,2024-01-25 23:17:40.973705,2024-01-25 23:25:06.637390,0 days 00:07:25.663685,40,0.20425683193078403,0.038253156158405965,0.052225642878899886,0.011256989335553275,,,357,0.001756320517013097,0.9812946114185495,3,352,192.0,64.0,,,6,False,0.00032851995843375385,COMPLETE
43,1.9135845348602192,2024-01-25 22:15:50.739581,2024-01-25 22:22:26.093159,0 days 00:06:35.353578,100,0.07692598071109728,0.07699554840568461,0.15893383319409837,0.12163155014395614,,,322,0.008046347871618524,0.6043416723325878,3,384,320.0,288.0,,,5,False,0.0001751063653708727,COMPLETE
23,1.9182251044093737,2024-01-25 22:02:34.330453,2024-01-25 22:10:13.172232,0 days 00:07:38.841779,85,0.011227373489909737,0.32075173331441614,0.21033507693603257,,,,387,0.008837637861609519,0.09038338803860876,2,480,416.0,,,,8,True,5.765313267345168e-05,COMPLETE
269,1.918257466702849,2024-01-26 01:31:10.053732,2024-01-26 01:39:14.484433,0 days 00:08:04.430701,16,0.017892354463955814,0.4224243312710787,0.034768776327598096,0.41797326917343025,,,163,0.007628037746116901,0.7318746928477985,3,352,320.0,288.0,,,7,True,0.004429202971952577,COMPLETE
