loss,mean_euclidean_error,mean_squared_error,val_loss,val_mean_euclidean_error,val_mean_squared_error
"[35.419090270996094, 13.929234504699707, 6.203232765197754, 5.394377708435059, 4.893644332885742, 4.268714904785156, 4.160943031311035, 4.07984733581543, 3.594282865524292, 3.4969563484191895]","[35.3209342956543, 13.896736145019531, 6.190062522888184, 5.398082733154297, 4.894289970397949, 4.2867960929870605, 4.163605690002441, 4.068993091583252, 3.583432912826538, 3.5094356536865234]","[519.207763671875, 89.29793548583984, 18.36576271057129, 14.906776428222656, 12.262937545776367, 9.396062850952148, 8.895666122436523, 8.542201042175293, 6.392142295837402, 6.275110721588135]","[27.436019897460938, 17.23177146911621, 17.664697647094727, 18.57358169555664, 18.381303787231445, 20.727428436279297, 21.52789306640625, 21.059110641479492, 20.43038558959961, 19.245676040649414]","[27.39232635498047, 17.16851234436035, 17.60189437866211, 18.529691696166992, 18.32212257385254, 20.65369987487793, 21.53423500061035, 21.021240234375, 20.39090347290039, 19.230125427246094]","[298.93670654296875, 106.28773498535156, 113.20497131347656, 120.46832275390625, 120.45912170410156, 157.57730102539062, 159.4435577392578, 155.78990173339844, 145.59478759765625, 128.2869110107422]"
"[36.390010833740234, 15.714869499206543, 6.861475467681885, 5.5502190589904785, 4.844212532043457, 4.673853397369385, 4.211240768432617, 3.7919013500213623, 3.9036285877227783, 3.832803726196289]","[36.23820114135742, 15.656103134155273, 6.854206085205078, 5.5362958908081055, 4.845290660858154, 4.681032657623291, 4.19650936126709, 3.7785654067993164, 3.898136854171753, 3.828981637954712]","[553.5724487304688, 106.54434967041016, 22.68014144897461, 16.822954177856445, 12.135653495788574, 11.196470260620117, 9.275808334350586, 7.653204917907715, 7.974924564361572, 8.054961204528809]","[31.102863311767578, 13.70953369140625, 14.441363334655762, 15.707125663757324, 14.539255142211914, 17.83060073852539, 16.52146339416504, 17.615406036376953, 18.434640884399414, 19.06655502319336]","[31.353811264038086, 13.549881935119629, 14.393434524536133, 15.565129280090332, 14.416948318481445, 17.720252990722656, 16.410255432128906, 17.51936149597168, 18.334877014160156, 18.932212829589844]","[371.60516357421875, 74.36446380615234, 79.31843566894531, 92.58020782470703, 80.4173355102539, 117.34638977050781, 99.69691467285156, 110.51496887207031, 119.95479583740234, 132.64952087402344]"
"[34.9465217590332, 12.79432487487793, 6.854226589202881, 5.225350379943848, 4.9773454666137695, 4.370766639709473, 4.129731178283691, 4.0244855880737305, 3.809988498687744, 3.722797393798828, 3.645418167114258, 3.4179301261901855, 3.231916904449463, 3.3478260040283203]","[34.87574005126953, 12.721168518066406, 6.8582539558410645, 5.209354400634766, 4.9847917556762695, 4.370969295501709, 4.1319451332092285, 4.010031700134277, 3.8064773082733154, 3.7125627994537354, 3.638066053390503, 3.416168689727783, 3.228106737136841, 3.374011754989624]","[510.0365295410156, 75.2655029296875, 23.777572631835938, 14.464998245239258, 12.958035469055176, 9.873109817504883, 9.066149711608887, 8.934870719909668, 7.649259090423584, 7.110568046569824, 6.892037868499756, 5.939198970794678, 5.210083961486816, 5.645551681518555]","[25.999603271484375, 15.566998481750488, 15.090795516967773, 14.821393013000488, 15.162435531616211, 14.78846549987793, 15.829447746276855, 16.605926513671875, 18.591672897338867, 18.84541130065918, 16.967533111572266, 17.8656005859375, 18.8768367767334, 18.36850929260254]","[26.40540885925293, 15.91187572479248, 15.45081615447998, 15.166704177856445, 15.525814056396484, 15.127803802490234, 16.18122100830078, 17.00507926940918, 18.952688217163086, 19.25603675842285, 17.311410903930664, 18.204124450683594, 19.213727951049805, 18.735193252563477]","[260.60052490234375, 88.63508605957031, 86.1033935546875, 88.07369995117188, 87.79828643798828, 79.9750747680664, 93.25076293945312, 100.88250732421875, 125.8262939453125, 128.3946533203125, 103.05635833740234, 112.19120788574219, 126.6242904663086, 119.83692932128906]"
"[34.7252311706543, 12.706368446350098, 6.206108093261719, 5.169567584991455, 4.645332336425781, 4.210851669311523, 4.1498870849609375, 3.7019801139831543, 3.6910109519958496, 3.7026429176330566, 3.476957321166992, 3.45672869682312]","[34.656532287597656, 12.672980308532715, 6.20149564743042, 5.1899261474609375, 4.664710521697998, 4.208340167999268, 4.1488800048828125, 3.6936416625976562, 3.687093734741211, 3.706249237060547, 3.4724974632263184, 3.4441075325012207]","[510.63262939453125, 76.05911254882812, 18.585920333862305, 13.792071342468262, 11.492082595825195, 9.300897598266602, 9.118379592895508, 6.999463081359863, 6.962517738342285, 7.494258880615234, 6.414529323577881, 6.5068559646606445]","[31.00750160217285, 17.36545181274414, 16.125961303710938, 14.629926681518555, 15.744059562683105, 18.189340591430664, 18.295757293701172, 17.68746566772461, 17.900936126708984, 18.222394943237305, 18.436983108520508, 17.9533634185791]","[30.797019958496094, 17.294288635253906, 16.030372619628906, 14.576753616333008, 15.700032234191895, 18.127788543701172, 18.237205505371094, 17.64008903503418, 17.86631965637207, 18.176834106445312, 18.38190269470215, 17.921947479248047]","[366.6419982910156, 113.45344543457031, 95.9771728515625, 78.15238189697266, 90.4146728515625, 122.41202545166016, 118.89231872558594, 109.61226654052734, 111.9307632446289, 117.51826477050781, 118.91545104980469, 114.28349304199219]"
"[35.663780212402344, 13.670343399047852, 6.533621311187744, 5.222263813018799, 4.9434428215026855, 4.615762710571289, 4.118443489074707, 4.012197971343994, 3.6382381916046143, 3.904818058013916, 3.6214516162872314, 3.4348397254943848]","[35.56772994995117, 13.602814674377441, 6.527600288391113, 5.236825942993164, 4.926643371582031, 4.603214740753174, 4.114523410797119, 4.01458740234375, 3.636625289916992, 3.9018609523773193, 3.627831220626831, 3.4449033737182617]","[533.8682250976562, 90.84058380126953, 20.659442901611328, 14.026171684265137, 13.458219528198242, 11.449694633483887, 9.164473533630371, 8.085041046142578, 6.652393341064453, 8.234142303466797, 7.4246368408203125, 6.0826239585876465]","[31.117198944091797, 15.993626594543457, 15.950587272644043, 13.374330520629883, 14.714462280273438, 16.383241653442383, 17.508914947509766, 17.915225982666016, 18.30852508544922, 16.769886016845703, 18.261432647705078, 16.15793228149414]","[31.186126708984375, 15.96622085571289, 15.996880531311035, 13.387456893920898, 14.6845703125, 16.389238357543945, 17.534101486206055, 17.92409324645996, 18.314558029174805, 16.7324275970459, 18.29949188232422, 16.18351173400879]","[371.7562255859375, 94.65481567382812, 97.01496887207031, 66.22169494628906, 77.83387756347656, 96.94654083251953, 109.25557708740234, 115.21275329589844, 118.02674865722656, 98.04149627685547, 117.93824768066406, 92.11182403564453]"
