number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_input_rate,params_dropout_rate_l0,params_dropout_rate_l1,params_dropout_rate_l2,params_dropout_rate_l3,params_dropout_rate_l4,params_epochs,params_learning_rate,params_momentum,params_num_layers,params_num_units_l0,params_num_units_l1,params_num_units_l2,params_num_units_l3,params_num_units_l4,params_patience,params_use_nesterov,params_weight_decay,state
363,0.9654733340764812,2024-01-28 03:43:05.061692,2024-01-28 03:51:52.285493,0 days 00:08:47.223801,40,0.02234321551346387,0.09142840450599135,0.26692975670874414,,,,325,0.0017965537586283784,0.9505558761150151,2,480,480.0,,,,5,True,0.0010302889266967127,COMPLETE
370,0.9784252838728392,2024-01-28 03:51:52.300251,2024-01-28 04:01:21.862396,0 days 00:09:29.562145,34,0.02796280616183804,0.08843382023489743,0.25876023227517153,,,,334,0.0018678198113706182,0.9627530341720015,2,512,480.0,,,,5,True,0.00019966515320976288,COMPLETE
360,0.9848771440299814,2024-01-28 03:36:16.198572,2024-01-28 03:48:44.902349,0 days 00:12:28.703777,41,0.020126833538728628,0.09072315708874326,0.2550288544862544,,,,333,0.0017690397080455632,0.9461872079094739,2,480,480.0,,,,5,True,0.0009776894523460826,COMPLETE
369,0.9915114620411515,2024-01-28 03:51:11.328064,2024-01-28 04:00:31.481349,0 days 00:09:20.153285,32,0.035488903025836065,0.0909043537620326,0.25817516951226344,,,,332,0.0018288691437585794,0.9619595396745778,2,512,480.0,,,,5,True,0.0010983938069791415,COMPLETE
371,1.0070519882878728,2024-01-28 03:52:57.787023,2024-01-28 04:02:57.869601,0 days 00:10:00.082578,33,0.03242338244975258,0.08746633961227389,0.25665287633863215,,,,334,0.0017584810523155361,0.9614654237912678,2,512,480.0,,,,5,True,0.001078075902735266,COMPLETE
361,1.0103482224412959,2024-01-28 03:41:22.244981,2024-01-28 03:51:11.301196,0 days 00:09:49.056215,41,0.020935955765519158,0.0917305301080652,0.2682741559246943,,,,334,0.0017729638826997195,0.9380719259739355,2,480,384.0,,,,5,True,0.001057425814128764,COMPLETE
375,1.020396526524237,2024-01-28 03:58:03.004011,2024-01-28 04:07:31.241656,0 days 00:09:28.237645,32,0.052551621257315516,0.08715268752541847,0.25549642485647994,,,,334,0.0018766546698073573,0.966258537385697,2,512,512.0,,,,5,True,0.0010816543647636056,COMPLETE
376,1.0238183436378727,2024-01-28 03:58:58.529557,2024-01-28 04:08:18.340265,0 days 00:09:19.810708,32,0.03286332715450628,0.08999136434213832,0.25859687676323473,,,,333,0.0018642019574998823,0.9646863197362765,2,512,480.0,,,,5,True,0.001261810667438903,COMPLETE
354,1.0266348137669747,2024-01-28 03:27:31.548026,2024-01-28 03:43:05.034499,0 days 00:15:33.486473,34,0.031209540702587586,0.13407954447925993,0.2736110031393,,,,319,0.0017671769360954619,0.9482320419696245,2,512,512.0,,,,5,True,0.001055850876885208,COMPLETE
372,1.028816113733349,2024-01-28 03:54:02.444204,2024-01-28 04:03:59.590432,0 days 00:09:57.146228,33,0.05134949627656866,0.09014467105480617,0.25211080444919004,,,,333,0.0018112825911053372,0.9594970170831207,2,512,480.0,,,,7,True,0.0011106882563513617,COMPLETE
