mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_neuralnetwork__activation,param_neuralnetwork__architecture,param_neuralnetwork__batch_size,param_neuralnetwork__dropout_hidden_rate,param_neuralnetwork__dropout_input_rate,param_neuralnetwork__early,param_neuralnetwork__epochs,param_neuralnetwork__input_dimension,param_neuralnetwork__learning_rate,param_neuralnetwork__momentum,param_neuralnetwork__output_dimension,param_neuralnetwork__patience,param_neuralnetwork__use_nesterov,param_neuralnetwork__weight_decay,params,split0_test_MEE,split1_test_MEE,split2_test_MEE,split3_test_MEE,split4_test_MEE,mean_test_MEE,std_test_MEE,rank_test_MEE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE
10.564475440979004,0.04878573048784045,0.4331336498260498,0.03700382383045996,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.001,0.5,3,50,True,0.001,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.001, 'neuralnetwork__momentum': 0.5, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': True, 'neuralnetwork__weight_decay': 0.001}",-14.558177031947867,-15.901481537121224,-14.568994929170879,-16.465972132876885,-12.602769756523298,-14.81947907752803,1.3361504395321342,923,0.5761419084195719,0.4942648986771296,0.6971535314912409,0.5942891358527473,0.6888111368410931,0.6101321222563565,0.0756236224417533,920,-9.49978040537316,-10.390163783649848,-9.29333618433787,-10.576967020153024,-8.202664523991038,-9.59258238350099,0.8526642192308423,921,-90.24582775031185,-107.95550345106895,-86.36609743512355,-111.87223134540476,-67.28370529314111,-92.74467305501005,16.077463616232933,919
10.480005168914795,0.6551759898004972,0.43138809204101564,0.06391355471100872,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.001,0.5,3,50,True,0.01,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.001, 'neuralnetwork__momentum': 0.5, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': True, 'neuralnetwork__weight_decay': 0.01}",-37.02985323372589,-34.77955845710673,-32.10214938729663,-38.18828225688388,-34.44652975753289,-35.30927461850921,2.1241306884668383,1096,-0.7794908270902193,-0.5910064461789317,-0.29283384946778257,-0.7701518139125905,-0.46485189341588473,-0.5796669660130818,0.1853636286805449,1104,-23.916256389896574,-22.301596679469018,-20.494158953914415,-24.18381477560486,-22.092545996411875,-22.59767455905935,1.3432865448466573,1096,-571.9873197072687,-497.36121445370355,-420.01055122831036,-584.8568971007638,-488.0805886035744,-512.4593142187242,60.256189893150356,1094
9.744189977645874,0.15234096874563485,0.3738873481750488,0.05848269495346666,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.001,0.5,3,50,False,0.001,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.001, 'neuralnetwork__momentum': 0.5, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': False, 'neuralnetwork__weight_decay': 0.001}",-13.316387017978258,-15.521175188107213,-15.872443869678344,-14.240784830696516,-14.447908915185693,-14.679739964329205,0.9204036443498815,918,0.6476791393564185,0.49215972037284716,0.6160281988856557,0.6753379871038857,0.6612990267714706,0.6185008144980555,0.06615392913181625,916,-8.747688338138907,-10.164950699871936,-10.116149471094761,-9.382624427990004,-9.490525227381545,-9.580387632895432,0.5233217708391126,920,-76.52205126121143,-103.32622273082697,-102.33648012153084,-88.03364115671476,-90.07006909156553,-92.0576928723699,9.941157208887672,918
9.353053331375122,0.3438380989373736,0.3747241973876953,0.05062034822125536,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.001,0.5,3,50,False,0.01,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.001, 'neuralnetwork__momentum': 0.5, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': False, 'neuralnetwork__weight_decay': 0.01}",-35.27510334440029,-36.911755227228454,-32.38222536606331,-39.32321350316319,-37.44355332890857,-36.26717015395276,2.3330563989251205,1119,-0.6410139405465837,-0.7167037922815037,-0.3384817138024361,-0.8291294909730057,-0.5852848318631972,-0.6221227538933453,0.16368476476170254,1120,-22.800367070919265,-23.59896888917643,-20.898296542166335,-24.871989600629462,-23.852402011979375,-23.204404822974176,1.3294962999467437,1118,-519.8567385686596,-556.911332632317,-436.73879836432144,-618.6158666938202,-568.9370817410777,-540.2119636000391,60.61716665864228,1117
9.23228416442871,0.4875184923407652,0.3820934295654297,0.05842632041610199,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.001,1.0,3,50,True,0.001,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.001, 'neuralnetwork__momentum': 1.0, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': True, 'neuralnetwork__weight_decay': 0.001}",-5.711354941629191,-6.028329235506787,-5.605848585448167,-5.727148101171961,-5.136811256356944,-5.641898424022609,0.2890789252637379,422,0.946627478634448,0.9435323740752594,0.9353295512326268,0.9583300052043292,0.9615267956626966,0.9490692409618721,0.009657645629427815,425,-3.7997281882339116,-4.116075991721984,-3.6911288555530293,-3.759121570829405,-3.411768263305921,-3.75556457392885,0.22551249385131547,427,-14.437934304459365,-16.942081569630115,-13.624432228296216,-14.130994984274935,-11.640162682501499,-14.155121153832425,1.7002564840431724,421
8.502131605148316,0.14136687039218043,0.35509686470031737,0.03763890837373137,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.001,1.0,3,50,True,0.01,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.001, 'neuralnetwork__momentum': 1.0, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': True, 'neuralnetwork__weight_decay': 0.01}",-5.648992624669048,-5.986186927252227,-5.90535826858751,-6.845145977234236,-6.2641183535770635,-6.129960430264017,0.4079057970168215,488,0.9344350493536163,0.9458527940996765,0.952295867693219,0.9103930011074826,0.9189514533318407,0.932385633117167,0.015786925108648164,521,-3.622399097687808,-3.9214429207953856,-3.948097834675938,-4.39550471751117,-3.983754362946967,-3.974239786723454,0.24690785740516707,473,-13.121775222929447,-15.377714581056244,-15.587476512172831,-19.320461721662955,-15.870298824298994,-15.855545372424094,1.9889467253221544,467
9.679924964904785,1.1981694548102415,0.46094379425048826,0.10341422865274846,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.001,1.0,3,50,False,0.001,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.001, 'neuralnetwork__momentum': 1.0, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': False, 'neuralnetwork__weight_decay': 0.001}",-6.1863706623406465,-6.357638153401839,-7.900609479652054,-7.355458635538215,-7.19024621939742,-6.998064630066035,0.6400382196703469,602,0.9449267902046689,0.9477362751742654,0.8956664530717338,0.9168158477650845,0.9174858341526138,0.9245262400736733,0.0194771299009938,557,-3.9011808041569567,-4.110598251704538,-5.124444662556111,-4.802603662709094,-4.655844178129642,-4.518934311851268,0.45038053492484426,585,-15.21921166672272,-16.897017986916403,-26.259933099599817,-23.065001941066807,-21.676885011023682,-20.623609941065887,4.048034839735055,587
8.91734881401062,0.2134456451494146,0.3034358978271484,0.0956018669087717,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.001,1.0,3,50,False,0.01,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.001, 'neuralnetwork__momentum': 1.0, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': False, 'neuralnetwork__weight_decay': 0.01}",-6.339981759836485,-6.742320442086585,-6.582814547446917,-6.773814287697903,-6.708484465991409,-6.62948310061186,0.15861522820576332,561,0.9392617844294998,0.8957991041593939,0.92296583551312,0.9247639014118111,0.9282895895551624,0.9222160430137973,0.014369089725148087,564,-4.14226924745748,-4.584637891961732,-4.215086769952678,-4.4865037718974685,-4.314623324869609,-4.348624201227793,0.16509628118897046,549,-17.158394518431958,-21.018904600411314,-17.7669564782301,-20.128716095250216,-18.615974435508875,-18.937789225566494,1.4415274966134835,540
8.646300125122071,0.2185441626297201,0.42919459342956545,0.1034830362278045,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.01,0.5,3,50,True,0.001,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.01, 'neuralnetwork__momentum': 0.5, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': True, 'neuralnetwork__weight_decay': 0.001}",-2.0915392932322487,-2.262090114935787,-2.3709969340970076,-2.551239698934609,-2.1917282351551095,-2.2935188552709525,0.15784025183789657,84,0.9929935820704636,0.9923998368222507,0.9914584934202216,0.9895966806578054,0.9923226261705197,0.9917542438282523,0.0011847662400514291,90,-1.4672265090765773,-1.5888807869732586,-1.965701907216182,-1.7813004843392288,-1.5342221648717531,-1.6674663704954,0.1821693471517995,87,-2.1527536289370395,-2.5245421552127616,-3.8639839880333358,-3.1730314155071713,-2.353837651183769,-2.8136297677748154,0.6267617157275716,88
9.008746862411499,0.40385886540536303,0.4334594249725342,0.03599498103838243,relu,"(128, 64)",16,"(0.1, 0.1)",0.0,False,50,10,0.01,0.5,3,50,True,0.01,"{'neuralnetwork__activation': 'relu', 'neuralnetwork__architecture': (128, 64), 'neuralnetwork__batch_size': 16, 'neuralnetwork__dropout_hidden_rate': (0.1, 0.1), 'neuralnetwork__dropout_input_rate': 0.0, 'neuralnetwork__early': False, 'neuralnetwork__epochs': 50, 'neuralnetwork__input_dimension': 10, 'neuralnetwork__learning_rate': 0.01, 'neuralnetwork__momentum': 0.5, 'neuralnetwork__output_dimension': 3, 'neuralnetwork__patience': 50, 'neuralnetwork__use_nesterov': True, 'neuralnetwork__weight_decay': 0.01}",-3.1952057081499476,-3.4685114535238513,-3.7703352216966537,-3.8583610658753407,-3.5148906270018436,-3.5614608152495277,0.2352570705613202,231,0.9797354415438203,0.9809123423557939,0.9824429690302979,0.9751119404390157,0.978581346059579,0.9793568078857013,0.0024782123488042256,228,-2.1785341520309944,-2.4001782590109144,-2.632711315250315,-2.699739215146614,-2.4816762249687048,-2.4785678332815086,0.1837671301008585,233,-4.746011051565404,-5.760855675028664,-6.9311688694470455,-7.288591829800454,-6.158716885574921,-6.177068862283298,0.8972900086407924,233
