loss,mean_euclidean_error,mean_squared_error,val_loss,val_mean_euclidean_error,val_mean_squared_error
"[449.923828125, 299.6749572753906, 154.92816162109375, 114.23713684082031, 62.427635192871094, 38.27308654785156, 117.33565521240234, 64.75177001953125, 41.145713806152344, 20.720914840698242, 17.283615112304688, 16.98748016357422, 12.888051986694336, 15.704127311706543, 12.731451988220215, 13.883813858032227, 8.126056671142578, 16.802621841430664, 9.997968673706055]","[31.63724136352539, 24.42483901977539, 16.040390014648438, 14.026298522949219, 10.450398445129395, 8.27052116394043, 13.717552185058594, 10.719388961791992, 8.424180030822754, 6.4044294357299805, 5.840466499328613, 5.896561622619629, 5.151846885681152, 5.477665901184082, 5.174254894256592, 5.2604899406433105, 4.239442825317383, 5.758151054382324, 4.496565818786621]","[449.923828125, 299.6749572753906, 154.92816162109375, 114.23713684082031, 62.427635192871094, 38.27308654785156, 117.33565521240234, 64.75177001953125, 41.145713806152344, 20.720914840698242, 17.283615112304688, 16.98748016357422, 12.888051986694336, 15.704127311706543, 12.731451988220215, 13.883813858032227, 8.126056671142578, 16.802621841430664, 9.997968673706055]","[462.841552734375, 527.314453125, 280.8980407714844, 322.2547912597656, 302.4530334472656, 283.7254943847656, 286.8313293457031, 292.40362548828125, 243.6862030029297, 239.9128875732422, 239.9160614013672, 251.1993865966797, 249.1293487548828, 247.1611785888672, 249.5761260986328, 251.93374633789062, 255.01913452148438, 252.06253051757812, 256.67413330078125]","[33.88189697265625, 33.75767135620117, 25.188968658447266, 27.187286376953125, 26.532428741455078, 25.89359474182129, 26.07631492614746, 25.271724700927734, 23.876346588134766, 23.926189422607422, 23.572195053100586, 24.086423873901367, 23.867212295532227, 24.008460998535156, 24.128084182739258, 24.030139923095703, 24.160512924194336, 24.01773452758789, 24.361909866333008]","[462.841552734375, 527.314453125, 280.8980407714844, 322.2547912597656, 302.4530334472656, 283.7254943847656, 286.8313293457031, 292.40362548828125, 243.6862030029297, 239.9128875732422, 239.9160614013672, 251.1993865966797, 249.1293487548828, 247.1611785888672, 249.5761260986328, 251.93374633789062, 255.01913452148438, 252.06253051757812, 256.67413330078125]"
"[572.0608520507812, 451.9210510253906, 309.20538330078125, 216.16531372070312, 143.60887145996094, 69.51898956298828, 124.63868713378906, 80.65934753417969, 40.5104866027832, 29.381122589111328]","[35.783485412597656, 29.23745346069336, 24.062053680419922, 19.61524772644043, 16.575756072998047, 11.2527494430542, 14.42927074432373, 11.4849853515625, 8.769664764404297, 7.497119903564453]","[572.0608520507812, 451.9210510253906, 309.20538330078125, 216.16531372070312, 143.60887145996094, 69.51898956298828, 124.63868713378906, 80.65934753417969, 40.5104866027832, 29.381122589111328]","[369.68536376953125, 3595.1484375, 3504.750732421875, 3179.811767578125, 2548.555419921875, 2774.95849609375, 2584.71240234375, 2623.049560546875, 2389.257080078125, 2452.054931640625]","[29.756206512451172, 94.06844329833984, 92.59474182128906, 88.98302459716797, 80.15275573730469, 83.19633483886719, 80.93286895751953, 81.38636779785156, 77.10746002197266, 78.59297180175781]","[369.68536376953125, 3595.1484375, 3504.750732421875, 3179.811767578125, 2548.555419921875, 2774.95849609375, 2584.71240234375, 2623.049560546875, 2389.257080078125, 2452.054931640625]"
"[526.5074462890625, 514.7633056640625, 319.58721923828125, 226.74063110351562, 93.27886962890625, 74.10900115966797, 102.04199981689453, 80.79744720458984, 66.33204650878906, 58.089759826660156]","[34.3353385925293, 31.5239315032959, 25.360837936401367, 20.436386108398438, 13.587263107299805, 11.130315780639648, 12.83574104309082, 12.099441528320312, 10.503610610961914, 10.002830505371094]","[526.5074462890625, 514.7633056640625, 319.58721923828125, 226.74063110351562, 93.27886962890625, 74.10900115966797, 102.04199981689453, 80.79744720458984, 66.33204650878906, 58.089759826660156]","[374.2718200683594, 821.205078125, 619.1717529296875, 573.6361083984375, 577.0938110351562, 583.2980346679688, 591.261962890625, 543.15625, 522.6165771484375, 537.5509033203125]","[28.674646377563477, 45.48021697998047, 38.07100296020508, 37.00966262817383, 37.593414306640625, 36.96339797973633, 37.326637268066406, 35.28435134887695, 35.119140625, 35.4468994140625]","[374.2718200683594, 821.205078125, 619.1717529296875, 573.6361083984375, 577.0938110351562, 583.2980346679688, 591.261962890625, 543.15625, 522.6165771484375, 537.5509033203125]"
"[461.89190673828125, 367.75030517578125, 292.9836120605469, 180.97116088867188, 101.24978637695312, 123.00738525390625, 115.55644226074219, 53.61173629760742, 35.302757263183594, 29.148157119750977]","[32.32474899291992, 27.190433502197266, 22.59200668334961, 18.234500885009766, 13.500950813293457, 14.56312084197998, 14.436738967895508, 10.079294204711914, 8.099868774414062, 7.481717109680176]","[461.89190673828125, 367.75030517578125, 292.9836120605469, 180.97116088867188, 101.24978637695312, 123.00738525390625, 115.55644226074219, 53.61173629760742, 35.302757263183594, 29.148157119750977]","[243.8483428955078, 522.7987670898438, 384.0248107910156, 313.8924255371094, 367.7259826660156, 424.3441467285156, 330.5346984863281, 333.1136474609375, 356.72430419921875, 372.22686767578125]","[25.40118408203125, 34.888877868652344, 31.057260513305664, 28.068716049194336, 29.797677993774414, 31.480566024780273, 27.562524795532227, 28.085397720336914, 29.808883666992188, 30.386642456054688]","[243.8483428955078, 522.7987670898438, 384.0248107910156, 313.8924255371094, 367.7259826660156, 424.3441467285156, 330.5346984863281, 333.1136474609375, 356.72430419921875, 372.22686767578125]"
"[533.5773315429688, 315.3907165527344, 371.11041259765625, 393.2945861816406, 202.39102172851562, 125.99110412597656, 68.12841796875, 91.94618225097656, 46.14636993408203, 31.292572021484375, 27.67063331604004]","[34.611549377441406, 24.11548614501953, 25.710811614990234, 25.581031799316406, 19.440189361572266, 15.332389831542969, 11.077510833740234, 12.063397407531738, 9.107832908630371, 7.670290470123291, 7.266726493835449]","[533.5773315429688, 315.3907165527344, 371.11041259765625, 393.2945861816406, 202.39102172851562, 125.99110412597656, 68.12841796875, 91.94618225097656, 46.14636993408203, 31.292572021484375, 27.67063331604004]","[439.8736267089844, 421.1517639160156, 899.5908203125, 2903.7060546875, 2445.918701171875, 2379.05029296875, 2398.599609375, 2110.97900390625, 2037.802490234375, 1956.054443359375, 1988.608154296875]","[32.1871337890625, 31.081928253173828, 46.06432342529297, 84.24778747558594, 76.2319564819336, 76.57886505126953, 75.95796966552734, 72.0751953125, 70.81022644042969, 68.66734313964844, 69.5784683227539]","[439.8736267089844, 421.1517639160156, 899.5908203125, 2903.7060546875, 2445.918701171875, 2379.05029296875, 2398.599609375, 2110.97900390625, 2037.802490234375, 1956.054443359375, 1988.608154296875]"
