mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_MEE,split1_test_MEE,split2_test_MEE,split3_test_MEE,split4_test_MEE,mean_test_MEE,std_test_MEE,rank_test_MEE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE
0.46123080253601073,0.11566901966968325,0.01532125473022461,0.005359321809902695,,sqrt,1,2,100,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",-2.3118011351588583,-2.836438146111152,-2.9099226771831823,-3.4654297712562028,-2.982398373483008,-2.9011980206384806,0.36786128236086835,11,0.9889957418562227,0.9830541160798636,0.9847138250036722,0.9802625119413685,0.9827428443433189,0.9839538078448893,0.0028948322223516024,13,-1.6895533370651696,-2.015934921932517,-2.2004195542859093,-2.489689047482822,-2.218902726557226,-2.1228999174647285,0.2641934398728195,13
0.6817563056945801,0.14077217606468703,0.016429567337036134,0.0005102218556262721,,sqrt,1,2,150,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",-2.2655173546301453,-2.7693178111873995,-2.8592950489988027,-3.441186842895445,-2.9601460460632745,-2.859092620755013,0.37667934166373124,5,0.9894363325354245,0.9839370610007374,0.9847721151054146,0.9804306524184421,0.9831292889232168,0.9843410899966472,0.002934978790297998,9,-1.6623849583944232,-1.9809938715655324,-2.1584926929178327,-2.466626275773286,-2.2111493288502895,-2.0959294255002727,0.26674966911944314,5
0.8623397827148438,0.11063343569553595,0.020967388153076173,0.0033070470283036585,,sqrt,1,2,200,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",-2.2835959240384067,-2.760175491364379,-2.8196879393114003,-3.4116852115398437,-2.898797659330824,-2.8347884451169705,0.359587366866428,3,0.9891578410481351,0.9840116280563121,0.9854270410426688,0.9807398932513872,0.9837670870795643,0.9846206980956136,0.002734816975168444,3,-1.675086396402635,-1.9838822321389693,-2.110395034822778,-2.4492585283112156,-2.1840687842397912,-2.080538195183078,0.2534948654833492,1
1.2652701377868651,0.1702353643020302,0.03595724105834961,0.009599780300001007,,sqrt,1,2,300,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",-2.2833378470523873,-2.8046725732157123,-2.8083923762124336,-3.3586224167108876,-2.854095098114533,-2.8218240622611903,0.34048080146505805,1,0.9891473595009486,0.9836110206651725,0.9852110859587097,0.9813622530681426,0.9839418124819378,0.9846547063349822,0.002566368511837846,1,-1.6831393453253274,-2.0155893809972616,-2.113900555237194,-2.4135107667035682,-2.1805283197764997,-2.08133367360797,0.23837904097144985,3
0.3542319774627686,0.013719134590355531,0.011185455322265624,0.004906218663715212,,sqrt,1,8,100,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 8, 'rf__n_estimators': 100}",-3.4105960951635206,-3.7397985884066203,-3.8408319154437423,-4.436335225547671,-3.888804958556977,-3.8632733566237065,0.3315774745134224,67,0.9767897171170462,0.9699310875157344,0.9736616478675127,0.9676913300139347,0.9713455287467644,0.9718838622521984,0.0031275675005439847,63,-2.4072660897812956,-2.6158882555429552,-2.6985478163788645,-3.056459145416467,-2.7496013470745266,-2.7055525308388217,0.21077917334209018,59
0.6157905101776123,0.07103331147475021,0.019965314865112306,0.009643437133361922,,sqrt,1,8,150,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 8, 'rf__n_estimators': 150}",-3.370451030194814,-3.692058362626443,-3.857042353155272,-4.434178291707399,-3.863369731839596,-3.843419953904705,0.3453082423557178,57,0.977524508189998,0.9708373614033281,0.9731688905741526,0.9673237379549796,0.9716842029630133,0.9721077402170943,0.0033210642611229144,59,-2.3886330814292904,-2.5875811608633033,-2.7268415270875086,-3.061376093777465,-2.757967914480133,-2.70447995552754,0.2209798322041368,57
0.7530373096466064,0.08213700882641525,0.0192049503326416,0.00556560469934929,,sqrt,1,8,200,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 8, 'rf__n_estimators': 200}",-3.3452852381255895,-3.7336284001913307,-3.807840123784506,-4.385334460344923,-3.8318837058654034,-3.8207943856623507,0.3324765075190251,53,0.9781792335747289,0.9702219936054871,0.9736451438849834,0.9683363232835444,0.9718251639204483,0.9724415716538385,0.0033624068707498282,55,-2.3677872021654314,-2.624788284734367,-2.690842468602713,-3.034071750310676,-2.747273391738562,-2.6929526195103497,0.214334498204484,53
1.2139621257781983,0.14267495777687247,0.035828256607055665,0.012147312916793628,,sqrt,1,8,300,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 8, 'rf__n_estimators': 300}",-3.295736466174824,-3.7510958537737205,-3.780424654056676,-4.405796484330894,-3.789693722900252,-3.804549436247273,0.3532842012197162,49,0.9788505138676543,0.9698966940494177,0.9740231506067661,0.968420278325672,0.9723143484869329,0.9727009970672885,0.003630504437278424,49,-2.325994835624396,-2.641510789652378,-2.6646627524876485,-3.0513940305852407,-2.7226010132678216,-2.681232684323497,0.2309879138014047,49
0.36015868186950684,0.02996731552408245,0.009082651138305664,0.000874591203564256,,sqrt,1,10,100,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",-3.6762015652875335,-4.0287354225882295,-4.240509430836701,-4.870045869275591,-4.105992244041192,-4.18429690640585,0.3903596698024877,177,0.9733060618248701,0.9653862219474679,0.9686340851527055,0.9621479500670428,0.968738706601702,0.9676426051187577,0.003729389015204919,171,-2.6012099246462483,-2.8055106919202495,-2.965528876910296,-3.3467903926647073,-2.898981145927102,-2.923604206413721,0.24467720466746096,175
0.5406373500823974,0.04056276151907529,0.015258264541625977,0.004121611246687735,,sqrt,1,10,150,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 150}",-3.6320342442499993,-4.029738739034811,-4.236283015717076,-4.828367181062819,-4.046172952079374,-4.154519226428816,0.39014254446427465,157,0.9741991252153025,0.9658343503842345,0.968828994471918,0.9627833854216526,0.9692968535561156,0.9681885418098446,0.0038085057506185654,155,-2.562614192737521,-2.8070874278590496,-2.9572258217853147,-3.3075918401750637,-2.8610369020975206,-2.899111236930894,0.24223212229574112,157
