mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__estimator__C,param_svr__estimator__epsilon,param_svr__estimator__kernel,param_svr__estimator__gamma,param_svr__estimator__coef0,param_svr__estimator__degree,params,split0_test_MEE,split1_test_MEE,split2_test_MEE,split3_test_MEE,split4_test_MEE,mean_test_MEE,std_test_MEE,rank_test_MEE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE
0.1306811809539795,0.02470081013339082,0.03948707580566406,0.047908883525616175,0.1,0.01,linear,,,,"{'svr__estimator__C': 0.1, 'svr__estimator__epsilon': 0.01, 'svr__estimator__kernel': 'linear'}",-10.610134757424705,-11.511323405974627,-11.59104413270587,-11.256757385267946,-10.7407682878439,-11.14200559384341,0.39876739880154166,45,0.8937654616038935,0.8864756631285214,0.893109246160212,0.8964851271327716,0.8980689769991334,0.8935808950049063,0.003982920579644762,47,-7.907563847651494,-8.615893113606392,-8.624023533527309,-8.402639317004672,-7.918122823945693,-8.293648527147111,0.3209202842211618,48
0.12692661285400392,0.014721874998139756,0.016494560241699218,0.010040447792121647,0.1,0.1,linear,,,,"{'svr__estimator__C': 0.1, 'svr__estimator__epsilon': 0.1, 'svr__estimator__kernel': 'linear'}",-10.627317331038084,-11.497458099020811,-11.562958501694656,-11.230933421036472,-10.757241267806837,-11.135181724119372,0.3805708241535282,43,0.8933760812702575,0.886839956561769,0.8933869711397923,0.8967045247623742,0.8978005960917171,0.893621625965182,0.0038229426177664506,44,-7.925856454897733,-8.603897305055892,-8.606027442838423,-8.387836390495272,-7.920297447019924,-8.288783008061449,0.30894980687038065,46
0.0932694435119629,0.005757352233548587,0.010581636428833007,0.0011701957961695816,0.1,1,linear,,,,"{'svr__estimator__C': 0.1, 'svr__estimator__epsilon': 1, 'svr__estimator__kernel': 'linear'}",-10.65357543333577,-11.482157552608857,-11.63950431826811,-11.303696664788001,-10.801851426641665,-11.176157079128481,0.38413268481131124,47,0.8936188408357721,0.8883663628353825,0.8927370708050426,0.8960478700095752,0.8974574617848866,0.8936455212541319,0.0031304209885003476,43,-7.903377160980071,-8.538700506419667,-8.617463881658304,-8.410075222880437,-7.92821571317369,-8.279566497022433,0.3044087366545997,44
0.13478684425354004,0.0053840824323228755,0.011705780029296875,0.0007801727211242639,1,0.01,linear,,,,"{'svr__estimator__C': 1, 'svr__estimator__epsilon': 0.01, 'svr__estimator__kernel': 'linear'}",-5.837394618250507,-6.467903350988782,-6.845748821897527,-6.219880146612319,-6.168350582932395,-6.307855504136306,0.3357020304658049,14,0.9587897515687586,0.9538268413663854,0.9527864964443765,0.9574526699699392,0.9568145475175679,0.9559340613734054,0.0022620316333686634,16,-4.336932570871922,-4.7295541937363,-5.239880379837702,-4.758691372640849,-4.543402083113558,-4.721692120040066,0.29992568327212416,15
0.16102194786071777,0.026558852021510135,0.019195699691772462,0.008841629846642688,1,0.1,linear,,,,"{'svr__estimator__C': 1, 'svr__estimator__epsilon': 0.1, 'svr__estimator__kernel': 'linear'}",-5.8186834859977,-6.472229118736498,-6.833956737782836,-6.218071418062588,-6.175691332813151,-6.303726418678556,0.33720431791748234,13,0.9591105961332098,0.9534800540446082,0.9531350427556315,0.957664052964612,0.9567930632209807,0.9560365618238084,0.002350542645467199,15,-4.321652404294142,-4.740775747167834,-5.230052589228361,-4.749507522813928,-4.544030043174797,-4.717203661335812,0.30035415912273566,14
0.16468439102172852,0.016713649227549334,0.010242843627929687,0.0021050889070697294,1,1,linear,,,,"{'svr__estimator__C': 1, 'svr__estimator__epsilon': 1, 'svr__estimator__kernel': 'linear'}",-5.825744767691536,-6.454770524431834,-6.7936340476032,-6.251283994446064,-6.239042928756722,-6.3128952525858715,0.3155325940670474,15,0.9594805402932418,0.9550888250043581,0.9547966036142652,0.9580630037637771,0.9571213150301646,0.9569100575411614,0.0017756616655134761,13,-4.296955026544969,-4.675885150094492,-5.155978900577414,-4.735774756345669,-4.514804085401845,-4.675879583792878,0.2841168498947338,13
0.48041300773620604,0.020110975571577688,0.015980052947998046,0.004608027480820682,10,0.01,linear,,,,"{'svr__estimator__C': 10, 'svr__estimator__epsilon': 0.01, 'svr__estimator__kernel': 'linear'}",-5.510369660822829,-6.337152457964122,-6.508363712823497,-5.940074352204588,-6.001903186082538,-6.059572673979515,0.3457436916055905,11,0.9631597398057412,0.9536511143649204,0.9559554001005649,0.9602110127403906,0.9575344690065997,0.9581023472036435,0.00330965350368401,12,-4.036440009150184,-4.7269552597317315,-5.008023968291924,-4.555789154597031,-4.484342518397788,-4.562310182033731,0.3188823293853215,11
0.4289841651916504,0.058592456888186005,0.015397214889526367,0.0035720099518577516,10,0.1,linear,,,,"{'svr__estimator__C': 10, 'svr__estimator__epsilon': 0.1, 'svr__estimator__kernel': 'linear'}",-5.499750081697426,-6.339395318723112,-6.517571778830716,-5.942631822234739,-6.0051570553637195,-6.060901211369942,0.35159426180851827,12,0.9633752557424127,0.9536326718214632,0.9559467560283643,0.9601800399996462,0.9574428884162404,0.9581155224016253,0.0033816848201117336,11,-4.0182483420585156,-4.722926514837158,-5.014767839697356,-4.554874831476949,-4.487976072543437,-4.559758720122683,0.3262107044660221,9
0.2920994758605957,0.01406059010734712,0.01150979995727539,0.0027254659275113544,10,1,linear,,,,"{'svr__estimator__C': 10, 'svr__estimator__epsilon': 1, 'svr__estimator__kernel': 'linear'}",-5.514481476856217,-6.279718702811501,-6.474020919243467,-5.92077670441911,-6.00613278551309,-6.039026117768676,0.32783086284822666,8,0.9634876650413698,0.9551876903307549,0.957618842437353,0.9612628276071016,0.9582868493532349,0.9591687749539629,0.0029005856805006287,7,-3.9735944628788684,-4.6379430759235065,-4.922313437538131,-4.482412367686843,-4.411035633647053,-4.485459795534881,0.310369655989056,7
1.6874987602233886,0.11319064185121325,0.015460634231567382,0.003731351627412493,100,0.01,linear,,,,"{'svr__estimator__C': 100, 'svr__estimator__epsilon': 0.01, 'svr__estimator__kernel': 'linear'}",-5.47739281084777,-6.3097522745415375,-6.506622226110966,-5.92516526829975,-6.004525689376015,-6.0446916538352085,0.35252370843596526,9,0.963424126390195,0.9537396123431551,0.9560273844573456,0.9601457440025389,0.9573738937441276,0.9581421521874723,0.00335733383233145,9,-4.021346027823858,-4.722706595847563,-5.010115099665314,-4.560045286784986,-4.493682294646362,-4.561579060953616,0.32360800791913114,10
